time,time,Main Price,Prev Close,Open,Bid,Ask,Volume
1-10-2018  10:19:35,1-10-2018  10:19:35,1208.1191,1193.47,1199.89,1205.5000 x 800,1206.2900 x 900,1420526
1-10-2018  10:19:51,1-10-2018  10:19:51,1207.63,1193.47,1199.89,1204.85 x 800,1206.08 x 900,1420526
1-10-2018  10:20:7,1-10-2018  10:20:7,1207.64,1193.47,1199.89,1204.85 x 800,1206.08 x 900,1420526
1-10-2018  10:20:23,1-10-2018  10:20:23,1207.64,1193.47,1199.89,1204.85 x 800,1206.08 x 900,1420526
1-10-2018  10:20:39,1-10-2018  10:20:39,1207.64,1193.47,1199.89,1206.17 x 800,1207.01 x 900,1420526
1-10-2018  10:20:55,1-10-2018  10:20:55,1207.64,1193.47,1199.89,1206.17 x 800,1207.01 x 900,1420526
1-10-2018  10:21:11,1-10-2018  10:21:11,1207.832,1193.47,1199.89,1206.170 x 800,1207.010 x 900,1420526
1-10-2018  10:21:27,1-10-2018  10:21:27,1208.1172,1193.47,1199.89,1206.1700 x 800,1207.0100 x 900,1420526
1-10-2018  10:21:43,1-10-2018  10:21:43,1208.117,1193.47,1199.89,1206.720 x 800,1208.150 x 900,1420526
1-10-2018  10:21:59,1-10-2018  10:21:59,1208.1172,1193.47,1199.89,1206.98 x 800,1207.49 x 900,1420526
1-10-2018  10:22:16,1-10-2018  10:22:16,1208.1172,1193.47,1199.89,1206.9800 x 800,1207.4900 x 900,1420526
1-10-2018  10:22:31,1-10-2018  10:22:31,1207.83,1193.47,1199.89,1206.98 x 800,1207.49 x 900,1420526
1-10-2018  10:22:47,1-10-2018  10:22:47,1207.31,1193.47,1199.89,1206.98 x 800,1207.49 x 900,1420526
1-10-2018  10:23:3,1-10-2018  10:23:3,1207.51,1193.47,1199.89,1206.280 x 800,1207.020 x 900,1420526
1-10-2018  10:23:19,1-10-2018  10:23:19,1207.51,1193.47,1199.89,1206.280 x 800,1207.020 x 900,1420526
1-10-2018  10:23:35,1-10-2018  10:23:35,1207.51,1193.47,1199.89,1206.280 x 800,1207.020 x 900,1420526
1-10-2018  10:23:51,1-10-2018  10:23:51,1207.51,1193.47,1199.89,1207.27 x 800,1207.48 x 900,1420526
1-10-2018  10:24:8,1-10-2018  10:24:8,1207.51,1193.47,1199.89,1207.27 x 800,1207.48 x 900,1420526
1-10-2018  10:24:24,1-10-2018  10:24:24,1207.7072,1193.47,1199.89,1207.2700 x 800,1207.4800 x 900,1420526
1-10-2018  10:24:40,1-10-2018  10:24:40,1207.7072,1193.47,1199.89,1207.15 x 800,1207.80 x 900,1420526
1-10-2018  10:24:56,1-10-2018  10:24:56,1207.92,1193.47,1199.89,1207.15 x 800,1207.80 x 900,1420526
1-10-2018  10:25:12,1-10-2018  10:25:12,1208.2605,1193.47,1199.89,1207.1500 x 800,1207.8000 x 900,1420526
1-10-2018  10:25:28,1-10-2018  10:25:28,1208.26,1193.47,1199.89,1207.4100 x 800,1207.9600 x 900,1420526
1-10-2018  10:25:44,1-10-2018  10:25:44,1208.0,1193.47,1199.89,1207.41 x 800,1207.96 x 900,1420526
1-10-2018  10:26:0,1-10-2018  10:26:0,1207.83,1193.47,1199.89,1207.4100 x 800,1207.9600 x 900,1420526
1-10-2018  10:26:16,1-10-2018  10:26:16,1207.8,1193.47,1199.89,1207.72 x 800,1208.28 x 900,1420526
1-10-2018  10:26:32,1-10-2018  10:26:32,1208.06,1193.47,1199.89,1207.72 x 800,1208.28 x 900,1420526
1-10-2018  10:26:48,1-10-2018  10:26:48,1208.06,1193.47,1199.89,1207.42 x 800,1207.84 x 900,1420526
1-10-2018  10:27:4,1-10-2018  10:27:4,1207.7087,1193.47,1199.89,1207.42 x 800,1207.84 x 900,1420526
1-10-2018  10:27:20,1-10-2018  10:27:20,1208.07,1193.47,1199.89,1207.42 x 800,1207.84 x 900,1420526
1-10-2018  10:27:36,1-10-2018  10:27:36,1208.07,1193.47,1199.89,1207.42 x 800,1207.84 x 900,1420526
1-10-2018  10:27:52,1-10-2018  10:27:52,1208.07,1193.47,1199.89,1207.42 x 800,1207.84 x 900,1420526
1-10-2018  10:28:8,1-10-2018  10:28:8,1208.23,1193.47,1199.89,1207.73 x 800,1208.19 x 900,1420526
1-10-2018  10:28:24,1-10-2018  10:28:24,1208.3,1193.47,1199.89,1207.73 x 800,1208.19 x 900,1420526
1-10-2018  10:28:40,1-10-2018  10:28:40,1208.3,1193.47,1199.89,1207.73 x 800,1208.32 x 900,1420526
1-10-2018  10:28:56,1-10-2018  10:28:56,1208.3,1193.47,1199.89,1207.73 x 800,1208.32 x 900,1420526
1-10-2018  10:29:12,1-10-2018  10:29:12,1208.4,1193.47,1199.89,1207.79 x 800,1208.05 x 900,1420526
1-10-2018  10:29:28,1-10-2018  10:29:28,1208.4,1193.47,1199.89,1207.79 x 800,1208.05 x 900,1420526
1-10-2018  10:29:44,1-10-2018  10:29:44,1208.4,1193.47,1199.89,1207.79 x 800,1208.05 x 900,1420526
1-10-2018  10:30:0,1-10-2018  10:30:0,1208.4,1193.47,1199.89,1207.79 x 800,1208.05 x 900,1420526
1-10-2018  10:30:16,1-10-2018  10:30:16,1208.6342,1193.47,1199.89,1207.7900 x 800,1208.3000 x 900,1420526
1-10-2018  10:30:33,1-10-2018  10:30:33,1208.639,1193.47,1199.89,1207.790 x 800,1208.300 x 900,1420526
1-10-2018  10:30:49,1-10-2018  10:30:49,1208.87,1193.47,1199.89,1206.97 x 800,1207.81 x 900,1420526
