time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:59:39,223.84,222.15,220.15 x 900,220.18 x 900,17781881
17:9:2018  12:59:55,223.84,222.15,220.22 x 900,220.18 x 900,17786718
17:9:2018  13:0:10,223.84,222.15,220.22 x 900,220.24 x 900,17802261
17:9:2018  13:0:26,223.84,222.15,220.22 x 900,220.24 x 900,17813206
17:9:2018  13:0:41,223.84,222.15,220.20 x 900,220.24 x 900,17818440
17:9:2018  13:0:56,223.84,222.15,220.20 x 900,220.24 x 900,17823804
17:9:2018  13:1:12,223.84,222.15,220.20 x 900,220.24 x 900,17830075
17:9:2018  13:1:28,223.84,222.15,220.18 x 900,220.24 x 900,17835839
17:9:2018  13:1:43,223.84,222.15,220.18 x 900,220.24 x 900,17838771
17:9:2018  13:1:59,223.84,222.15,220.18 x 900,220.18 x 900,17844064
17:9:2018  13:2:14,223.84,222.15,220.240 x 900,220.180 x 900,17849567
17:9:2018  13:2:30,223.84,222.15,220.2400 x 900,220.1800 x 900,17889230
17:9:2018  13:2:46,223.84,222.15,220.24 x 900,220.23 x 900,17906383
17:9:2018  13:3:1,223.84,222.15,220.20 x 900,220.23 x 900,17939449
17:9:2018  13:3:17,223.84,222.15,220.20 x 900,220.23 x 900,17953796
17:9:2018  13:3:33,223.84,222.15,220.2000 x 900,220.2100 x 900,17960007
17:9:2018  13:3:48,223.84,222.15,220.2200 x 900,220.2100 x 900,17966200
17:9:2018  13:4:4,223.84,222.15,220.22 x 900,220.21 x 900,17978410
17:9:2018  13:4:20,223.84,222.15,220.2200 x 900,220.2400 x 900,17987987
17:9:2018  13:4:35,223.84,222.15,220.23 x 900,220.24 x 900,17992083
17:9:2018  13:4:51,223.84,222.15,220.2300 x 900,220.2400 x 900,18000826
17:9:2018  13:5:6,223.84,222.15,220.23 x 900,220.26 x 900,18009972
17:9:2018  13:5:21,223.84,222.15,220.2500 x 900,220.2600 x 900,18019024
17:9:2018  13:5:37,223.84,222.15,220.250 x 900,220.260 x 900,18035553
17:9:2018  13:5:52,223.84,222.15,220.2500 x 900,220.2700 x 900,18042038
17:9:2018  13:6:8,223.84,222.15,220.23 x 900,220.27 x 900,18057726
17:9:2018  13:6:24,223.84,222.15,220.23 x 900,220.27 x 900,18071413
17:9:2018  13:6:39,223.84,222.15,220.23 x 900,220.16 x 800,18083512
17:9:2018  13:6:54,223.84,222.15,220.090 x 1100,220.160 x 800,18152536
17:9:2018  13:7:9,223.84,222.15,220.0900 x 1100,220.1600 x 800,18163048
17:9:2018  13:7:25,223.84,222.15,220.09 x 1100,220.07 x 800,18169413
17:9:2018  13:7:40,223.84,222.15,220.09 x 1100,220.07 x 800,18178768
17:9:2018  13:7:55,223.84,222.15,220.08 x 1100,220.07 x 800,18189209
17:9:2018  13:8:11,223.84,222.15,220.08 x 1100,220.07 x 1100,18208761
17:9:2018  13:8:27,223.84,222.15,220.10 x 1100,220.11 x 1200,18215680
17:9:2018  13:8:43,223.84,222.15,220.10 x 1100,220.11 x 1200,18224107
17:9:2018  13:8:58,223.84,222.15,220.100 x 1100,220.100 x 1200,18228113
17:9:2018  13:9:14,223.84,222.15,220.03 x 1100,220.10 x 1200,18233341
17:9:2018  13:9:29,223.84,222.15,220.03 x 1100,220.10 x 1200,18246616
17:9:2018  13:9:44,223.84,222.15,220.0300 x 1100,220.0000 x 1200,18251079
17:9:2018  13:9:59,223.84,222.15,219.8800 x 800,220.0000 x 1200,18256268
17:9:2018  13:10:15,223.84,222.15,219.88 x 800,220.00 x 1200,18261817
17:9:2018  13:10:30,223.84,222.15,219.88 x 800,219.92 x 800,18273871
17:9:2018  13:10:46,223.84,222.15,219.88 x 800,219.92 x 800,18280202
17:9:2018  13:11:2,223.84,222.15,219.8800 x 800,219.9200 x 800,18283067
17:9:2018  13:11:18,223.84,222.15,219.88 x 800,219.84 x 800,18286864
17:9:2018  13:11:34,223.84,222.15,219.80 x 800,219.84 x 800,18291899
