time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  12:54:7,1172.53,1170.14,"1,162.08 x 900","1,162.79 x 800",552880
17:9:2018  12:54:23,1172.53,1170.14,"1,162.08 x 900","1,162.79 x 800",555060
17:9:2018  12:54:39,1172.53,1170.14,"1,161.64 x 900","1,162.21 x 800",555060
17:9:2018  12:54:55,1172.53,1170.14,"1,161.640 x 900","1,162.210 x 800",556211
17:9:2018  12:55:10,1172.53,1170.14,"1,161.640 x 900","1,162.210 x 800",556638
17:9:2018  12:55:26,1172.53,1170.14,"1,161.86 x 900","1,162.29 x 800",557504
17:9:2018  12:55:42,1172.53,1170.14,"1,161.86 x 900","1,162.38 x 800",557715
17:9:2018  12:55:57,1172.53,1170.14,"1,161.86 x 900","1,162.29 x 800",558389
17:9:2018  12:56:13,1172.53,1170.14,"1,161.55 x 900","1,162.29 x 800",559298
17:9:2018  12:56:28,1172.53,1170.14,"1,161.55 x 900","1,162.29 x 800",559398
17:9:2018  12:56:44,1172.53,1170.14,"1,161.55 x 900","1,162.29 x 800",559398
17:9:2018  12:56:59,1172.53,1170.14,"1,161.82 x 900","1,162.28 x 800",560063
17:9:2018  12:57:15,1172.53,1170.14,"1,161.82 x 900","1,162.28 x 800",560063
17:9:2018  12:57:30,1172.53,1170.14,"1,161.82 x 900","1,162.28 x 800",560063
17:9:2018  12:57:46,1172.53,1170.14,"1,161.94 x 900","1,162.45 x 800",560063
17:9:2018  12:58:1,1172.53,1170.14,"1,161.8199 x 900","1,162.4500 x 800",560063
17:9:2018  12:58:16,1172.53,1170.14,"1,161.8199 x 900","1,162.4500 x 800",560063
17:9:2018  12:58:32,1172.53,1170.14,"1,161.82 x 900","1,162.45 x 800",560063
17:9:2018  12:58:47,1172.53,1170.14,"1,161.960 x 900","1,162.410 x 800",561944
17:9:2018  12:59:2,1172.53,1170.14,"1,161.96 x 900","1,162.41 x 800",562896
17:9:2018  12:59:17,1172.53,1170.14,"1,161.96 x 900","1,162.41 x 800",563135
17:9:2018  12:59:33,1172.53,1170.14,"1,161.96 x 900","1,162.41 x 800",563678
17:9:2018  12:59:48,1172.53,1170.14,"1,161.56 x 900","1,162.04 x 800",564049
17:9:2018  13:0:3,1172.53,1170.14,"1,161.96 x 900","1,162.41 x 800",564049
17:9:2018  13:0:19,1172.53,1170.14,"1,161.56 x 900","1,162.04 x 800",564049
17:9:2018  13:0:35,1172.53,1170.14,"1,161.58 x 900","1,162.26 x 800",564379
17:9:2018  13:0:50,1172.53,1170.14,"1,161.5800 x 900","1,162.2600 x 800",564379
17:9:2018  13:1:5,1172.53,1170.14,"1,161.58 x 900","1,162.26 x 800",564379
17:9:2018  13:1:21,1172.53,1170.14,"1,162.3600 x 900","1,162.7900 x 800",564379
17:9:2018  13:1:37,1172.53,1170.14,"1,162.3600 x 900","1,162.7900 x 800",564379
17:9:2018  13:1:52,1172.53,1170.14,"1,162.3600 x 900","1,162.7900 x 800",564379
17:9:2018  13:2:8,1172.53,1170.14,"1,162.3600 x 900","1,162.7900 x 800",564379
17:9:2018  13:2:23,1172.53,1170.14,"1,162.3600 x 900","1,162.7900 x 800",564379
17:9:2018  13:2:39,1172.53,1170.14,"1,162.64 x 900","1,163.35 x 800",565041
17:9:2018  13:2:55,1172.53,1170.14,"1,162.64 x 900","1,163.35 x 800",566362
17:9:2018  13:3:10,1172.53,1170.14,"1,162.75 x 900","1,162.99 x 800",567965
17:9:2018  13:3:26,1172.53,1170.14,"1,162.75 x 900","1,162.99 x 800",567965
17:9:2018  13:3:41,1172.53,1170.14,"1,162.75 x 900","1,162.99 x 800",567965
17:9:2018  13:3:57,1172.53,1170.14,"1,162.98 x 900","1,162.99 x 800",567965
17:9:2018  13:4:13,1172.53,1170.14,"1,162.75 x 900","1,162.99 x 800",567965
17:9:2018  13:4:29,1172.53,1170.14,"1,162.9800 x 900","1,162.9900 x 800",567965
17:9:2018  13:4:44,1172.53,1170.14,"1,163.30 x 900","1,163.92 x 800",567965
17:9:2018  13:4:59,1172.53,1170.14,"1,163.30 x 900","1,163.92 x 800",569096
17:9:2018  13:5:15,1172.53,1170.14,"1,163.30 x 900","1,163.92 x 800",569096
17:9:2018  13:5:30,1172.53,1170.14,"1,163.71 x 900","1,164.92 x 800",569360
17:9:2018  13:5:46,1172.53,1170.14,"1,163.71 x 900","1,164.92 x 800",569360
17:9:2018  13:6:1,1172.53,1170.14,"1,163.71 x 900","1,164.92 x 800",569360
17:9:2018  13:6:17,1172.53,1170.14,"1,164.51 x 900","1,164.92 x 800",569360
17:9:2018  13:6:33,1172.53,1170.14,"1,164.51 x 900","1,164.92 x 800",569360
17:9:2018  13:6:47,1172.53,1170.14,"1,164.51 x 900","1,164.92 x 800",569360
17:9:2018  13:7:3,1172.53,1170.14,"1,163.710 x 900","1,164.310 x 800",570057
17:9:2018  13:7:18,1172.53,1170.14,"1,163.7100 x 900","1,164.3101 x 800",570489
17:9:2018  13:7:34,1172.53,1170.14,"1,163.7100 x 900","1,164.3101 x 800",570489
17:9:2018  13:7:49,1172.53,1170.14,"1,163.7100 x 900","1,164.3101 x 800",570489
17:9:2018  13:8:4,1172.53,1170.14,"1,163.71 x 900","1,164.31 x 800",571341
17:9:2018  13:8:20,1172.53,1170.14,"1,164.01 x 900","1,164.31 x 800",572058
17:9:2018  13:8:36,1172.53,1170.14,"1,164.01 x 900","1,164.31 x 800",572058
17:9:2018  13:8:51,1172.53,1170.14,"1,164.01 x 900","1,164.31 x 800",572058
17:9:2018  13:9:7,1172.53,1170.14,"1,164.01 x 900","1,164.31 x 800",572058
17:9:2018  13:9:23,1172.53,1170.14,"1,163.53 x 900","1,164.31 x 800",573387
17:9:2018  13:9:38,1172.53,1170.14,"1,163.53 x 900","1,163.96 x 800",575041
17:9:2018  13:9:53,1172.53,1170.14,"1,163.53 x 900","1,164.31 x 800",575041
17:9:2018  13:10:8,1172.53,1170.14,"1,163.53 x 900","1,163.96 x 800",575175
17:9:2018  13:10:24,1172.53,1170.14,"1,163.3700 x 900","1,163.9600 x 800",575175
17:9:2018  13:10:40,1172.53,1170.14,"1,163.3700 x 900","1,163.9600 x 800",575175
17:9:2018  13:10:55,1172.53,1170.14,"1,163.2100 x 900","1,163.8199 x 800",575175
17:9:2018  13:11:11,1172.53,1170.14,"1,163.2100 x 900","1,163.8199 x 800",575175
17:9:2018  13:11:27,1172.53,1170.14,"1,163.21 x 900","1,163.30 x 800",575175
17:9:2018  13:11:42,1172.53,1170.14,"1,163.21 x 900","1,163.30 x 800",575175
