     date     time,Prev Close,Open,Bid,Ask,Volume
17:9:2018  13:5:3,295.2000,290.0400,298.5800 x 1200,298.6400 x 2200,"4,504,905"
17:9:2018  13:5:19,295.20,290.04,298.58 x 1200,298.64 x 2200,"4,523,421"
17:9:2018  13:5:34,295.20,290.04,298.5800 x 1200,298.6400 x 2200,"4,527,798"
17:9:2018  13:5:50,295.20,290.04,298.40 x 1200,298.50 x 2200,"4,532,111"
17:9:2018  13:6:5,295.20,290.04,298.40 x 1200,298.50 x 2200,"4,535,370"
17:9:2018  13:6:21,295.20,290.04,298.40 x 1200,298.50 x 2200,"4,543,045"
17:9:2018  13:6:36,295.20,290.04,298.01 x 1200,298.15 x 2200,"4,545,789"
17:9:2018  13:6:51,295.20,290.04,298.01 x 1200,298.15 x 2200,"4,550,319"
17:9:2018  13:7:7,295.20,290.04,298.01 x 1200,298.15 x 2200,"4,553,509"
17:9:2018  13:7:22,295.20,290.04,298.01 x 1200,298.15 x 2200,"4,554,344"
17:9:2018  13:7:38,295.200,290.040,298.110 x 1200,298.240 x 2200,"4,557,468"
17:9:2018  13:7:53,295.20,290.04,298.11 x 1200,298.24 x 2200,"4,558,425"
17:9:2018  13:8:9,295.20,290.04,298.11 x 1200,298.45 x 2200,"4,559,750"
17:9:2018  13:8:25,295.2000,290.0400,298.3600 x 1200,298.4500 x 2200,"4,559,750"
17:9:2018  13:8:40,295.20,290.04,298.360 x 1200,298.450 x 2200,"4,560,147"
17:9:2018  13:8:55,295.20,290.04,298.36 x 1200,298.45 x 2200,"4,565,009"
17:9:2018  13:9:11,295.20,290.04,298.49 x 1200,298.62 x 2200,"4,568,440"
17:9:2018  13:9:26,295.2000,290.0400,298.49 x 1200,298.62 x 2200,"4,571,152"
17:9:2018  13:9:42,295.20,290.04,298.49 x 1200,298.49 x 2200,"4,571,749"
17:9:2018  13:9:57,295.20,290.04,298.49 x 1200,298.49 x 2200,"4,571,749"
17:9:2018  13:10:13,295.20,290.04,298.30 x 1200,298.49 x 2200,"4,572,192"
17:9:2018  13:10:28,295.200,290.040,298.300 x 1200,298.490 x 2200,"4,573,822"
17:9:2018  13:10:44,295.20,290.04,298.28 x 1200,298.41 x 2200,"4,575,830"
17:9:2018  13:11:0,295.20,290.04,298.280 x 1200,298.410 x 2200,"4,579,077"
17:9:2018  13:11:15,295.20,290.04,298.28 x 1200,298.41 x 2200,"4,584,041"
17:9:2018  13:11:31,295.20,290.04,298.42 x 1200,298.46 x 2200,"4,585,858"
